case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,method_detail,slot_support,training_cases
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,logodds,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.29779628,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.29779628,False,True,False,0.59637659,1.21134566,ok,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,checklist,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.14429035,H_UND,H_UND,0.25009169,False,False,False,0.88708547,1.93592769,ok,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 2, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,prior,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,ok,empirical_prior_v1,,0
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,logodds,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.2918229,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.2918229,False,True,False,0.60694293,1.23160816,ok,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,checklist,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.14429035,H_UND,H_UND,0.25009169,False,False,False,0.88708547,1.93592769,ok,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 2, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,prior,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,ok,empirical_prior_v1,,0
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,logodds,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.50656722,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.50656722,False,True,False,0.29521134,0.68009825,ok,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,checklist,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.27699075,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.27699075,False,True,False,0.62729085,1.28377117,ok,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 3, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,prior,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,ok,empirical_prior_v1,,0
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,logodds,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.71040558,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.71040558,False,True,False,0.10257668,0.34191924,ok,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,checklist,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.27699075,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.27699075,False,True,False,0.62729085,1.28377117,ok,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 3, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,prior,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,ok,empirical_prior_v1,,0
