question_id,category,resolution_date,outcome,p_true,predicted_label,is_correct,confidence,abs_error,squared_error,log_loss,run_id,model_version,produced_at_utc,question_text
SYN_UK_MACRO_001,gdp_growth,2020-12-31,1,0.5,1,1,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK real GDP growth positive for the calendar year?
SYN_UK_MACRO_002,gdp_growth,2021-12-31,0,0.5,1,0,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK real GDP growth positive for the calendar year?
SYN_UK_MACRO_003,gdp_growth,2022-12-31,1,0.5,1,1,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK real GDP growth positive for the calendar year?
SYN_UK_MACRO_004,inflation,2021-12-31,1,0.5,1,1,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK CPI inflation above 2 percent at year-end?
SYN_UK_MACRO_005,inflation,2023-12-31,0,0.5,1,0,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK CPI inflation above 2 percent at year-end?
SYN_UK_MACRO_006,labor,2020-12-31,0,0.5,1,0,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK unemployment below 5 percent at year-end?
SYN_UK_MACRO_007,labor,2022-12-31,1,0.5,1,1,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is UK unemployment below 5 percent at year-end?
SYN_UK_MACRO_008,policy_rate,2021-12-31,0,0.5,1,0,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is Bank Rate above 3 percent at year-end?
SYN_UK_MACRO_009,policy_rate,2023-12-31,1,0.5,1,1,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is Bank Rate above 3 percent at year-end?
SYN_UK_MACRO_010,consumption,2024-12-31,1,0.5,1,1,0.5,0.5,0.25,0.6931471805599453,example_run,abductio_template,2026-02-10T00:00:00Z,Is real household consumption growth positive for the calendar year?
